tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
av1 to mp3,convert,"x to y, convert x to y",in-progress,".av1,.mp3",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to mp4,convert,"x to y, convert x to y",onsite-unverified,".av1,.mp4",,,,,
av1 to mpeg,convert,"x to y, convert x to y",onsite-unverified,".av1,.mpeg",,,,,
av1 to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".av1,.mpeg2",,,,,
av1 to mpg,convert,"x to y, convert x to y",onsite-unverified,".av1,.mpg",,,,,
av1 to mts,convert,"x to y, convert x to y",onsite-unverified,".av1,.mts",,,,,
av1 to mxf,convert,"x to y, convert x to y",onsite-unverified,".av1,.mxf",,,,,
av1 to oga,convert,"x to y, convert x to y",in-progress,".av1,.oga",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to ogg,convert,"x to y, convert x to y",in-progress,".av1,.ogg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to opus,convert,"x to y, convert x to y",in-progress,".av1,.opus",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to rm,convert,"x to y, convert x to y",onsite-unverified,".av1,.rm",,,,,
av1 to rmvb,convert,"x to y, convert x to y",onsite-unverified,".av1,.rmvb",,,,,
av1 to ts,convert,"x to y, convert x to y",onsite-unverified,".av1,.ts",,,,,
av1 to vob,convert,"x to y, convert x to y",onsite-unverified,".av1,.vob",,,,,
av1 to wav,convert,"x to y, convert x to y",in-progress,".av1,.wav",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to webm,convert,"x to y, convert x to y",onsite-unverified,".av1,.webm",,,,,
av1 to wma,convert,"x to y, convert x to y",in-progress,".av1,.wma",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
